fs	Tr(Gyr)	m(1e5M0)
0.010000	0.474674	1.115602
0.011837	0.427710	1.096841
0.013673	0.386628	1.106582
0.015510	0.350527	1.089632
0.017347	0.318476	1.085700
0.019184	0.290384	1.094573
0.021020	0.264516	1.061807
0.022857	0.242593	1.077598
0.024694	0.222574	1.089544
0.026531	0.204379	1.068833
0.028367	0.187814	1.058607
0.030204	0.173342	1.071431
0.032041	0.160042	1.081630
0.033878	0.147886	1.064662
0.035714	0.136301	1.045123
0.037551	0.126586	1.052162
0.039388	0.117550	1.061142
0.041224	0.109180	1.070858
0.043061	0.101470	1.064255
0.044898	0.094360	1.053939
0.046735	0.087274	1.036586
0.048571	0.081538	1.040817
0.050408	0.076157	1.045887
0.052245	0.071119	1.051746
0.054082	0.066421	1.057996
0.055918	0.062057	1.062519
0.057755	0.058006	1.053752
0.059592	0.054236	1.047217
0.061429	0.050699	1.042125
0.063265	0.046959	1.029671
0.065102	0.044087	1.032210
0.066939	0.041371	1.035024
0.068776	0.038810	1.038096
0.070612	0.036402	1.041398
0.072449	0.034140	1.044835
0.074286	0.032022	1.048183
0.076122	0.030040	1.051066
0.077959	0.028185	1.047989
0.079796	0.026446	1.043455
0.081633	0.024813	1.039859
0.083469	0.023273	1.036968
0.085306	0.021813	1.034565
0.087143	0.019890	1.021555
0.088980	0.018720	1.022826
0.090816	0.017608	1.024174
0.092653	0.016553	1.025578
0.094490	0.015553	1.027015
0.096327	0.014608	1.028487
0.098163	0.013716	1.029989
0.100000	0.012875	1.031469
