fs	Tr(Gyr)	m(1e5M0)
0.010000	0.064934	1.000000
0.011837	0.058181	1.000000
0.013673	0.053242	1.000000
0.015510	0.048631	1.000000
0.017347	0.044380	1.000000
0.019184	0.039647	1.000000
0.021020	0.036677	1.000000
0.022857	0.033862	1.000000
0.024694	0.031206	1.000000
0.026531	0.028723	1.000000
0.028367	0.026425	1.000000
0.030204	0.024307	1.000000
0.032041	0.022340	1.000000
0.033878	0.019997	1.000000
0.035714	0.018634	1.000000
0.037551	0.017333	1.000000
0.039388	0.016096	1.000000
0.041224	0.014927	1.000000
0.043061	0.013824	1.000000
0.044898	0.012792	1.000000
0.046735	0.011829	1.000000
0.048571	0.010937	1.000000
0.050408	0.010112	1.000000
0.052245	0.009347	1.000000
0.054082	0.008637	1.000000
0.055918	0.007976	1.000000
0.057755	0.007352	1.000000
0.059592	0.006724	1.000000
0.061429	0.005731	1.000000
0.063265	0.005346	1.000000
0.065102	0.004978	1.000000
0.066939	0.004627	1.000000
0.068776	0.004294	1.000000
0.070612	0.003980	1.000000
0.072449	0.003684	1.000000
0.074286	0.003406	1.000000
0.076122	0.003145	1.000000
0.077959	0.002903	1.000000
0.079796	0.002677	1.000000
0.081633	0.002468	1.000000
0.083469	0.002275	1.000000
0.085306	0.002097	1.000000
0.087143	0.001934	1.000000
0.088980	0.001785	1.000000
0.090816	0.001646	1.000000
0.092653	0.001522	1.000000
0.094490	0.001406	1.000000
0.096327	0.001303	1.000000
0.098163	0.001207	1.000000
0.100000	0.001118	1.000000
