fs	Tr(Gyr)	m(1e5M0)
0.010000	0.098998	1.094565
0.011837	0.089261	1.068884
0.013673	0.081727	1.084844
0.015510	0.074746	1.087964
0.017347	0.068323	1.071330
0.019184	0.062135	1.055314
0.021020	0.057323	1.064985
0.022857	0.052818	1.076001
0.024694	0.048645	1.073116
0.026531	0.044797	1.060726
0.028367	0.040591	1.038134
0.030204	0.037761	1.042556
0.032041	0.035077	1.047777
0.033878	0.032545	1.053749
0.035714	0.030170	1.060055
0.037551	0.027960	1.064891
0.039388	0.025910	1.057264
0.041224	0.024014	1.049762
0.043061	0.022245	1.043860
0.044898	0.019977	1.026454
0.046735	0.018687	1.028502
0.048571	0.017458	1.030767
0.050408	0.016289	1.033226
0.052245	0.015180	1.035850
0.054082	0.014134	1.038645
0.055918	0.013149	1.041481
0.057755	0.012226	1.044271
0.059592	0.011366	1.046854
0.061429	0.010563	1.048779
0.063265	0.009817	1.045893
0.065102	0.009121	1.041625
0.066939	0.008473	1.038008
0.068776	0.007867	1.034977
0.070612	0.007298	1.032405
0.072449	0.006761	1.030184
0.074286	0.006246	1.028101
0.076122	0.005224	1.015381
0.077959	0.004876	1.016126
0.079796	0.004547	1.016902
0.081633	0.004234	1.017691
0.083469	0.003939	1.018502
0.085306	0.003659	1.019303
0.087143	0.003397	1.020104
0.088980	0.003151	1.020886
0.090816	0.002923	1.021664
0.092653	0.002710	1.022424
0.094490	0.002511	1.023153
0.096327	0.002328	1.023856
0.098163	0.002158	1.024505
0.100000	0.002002	1.025128
