fs	Tr(Gyr)	m(1e5M0)
0.010000	2.817697	1.123205
0.011837	2.405435	1.130200
0.013673	2.071011	1.103670
0.015510	1.797028	1.100300
0.017347	1.569684	1.110530
0.019184	1.378690	1.074572
0.021020	1.218712	1.103755
0.022857	1.081200	1.065536
0.024694	0.964881	1.086784
0.026531	0.864011	1.086008
0.028367	0.776133	1.065754
0.030204	0.700202	1.085689
0.032041	0.633386	1.076990
0.033878	0.574187	1.057454
0.035714	0.522603	1.071641
0.037551	0.476587	1.082218
0.039388	0.435515	1.063477
0.041224	0.398606	1.052560
0.043061	0.366028	1.063382
0.044898	0.336585	1.076081
0.046735	0.309999	1.064100
0.048571	0.285326	1.041127
0.050408	0.263939	1.047146
0.052245	0.244360	1.054970
0.054082	0.226445	1.064263
0.055918	0.210079	1.065598
0.057755	0.195110	1.054757
0.059592	0.180767	1.035283
0.061429	0.168485	1.039350
0.063265	0.157107	1.044280
0.065102	0.146574	1.050099
0.066939	0.136834	1.056419
0.068776	0.127837	1.061079
0.070612	0.119523	1.052525
0.072449	0.111813	1.046457
0.074286	0.104602	1.041398
0.076122	0.097607	1.032338
0.077959	0.091589	1.035354
0.079796	0.085958	1.038732
0.081633	0.080695	1.042413
0.083469	0.075779	1.046281
0.085306	0.071193	1.050118
0.087143	0.066911	1.052163
0.088980	0.062910	1.046734
0.090816	0.059164	1.042554
0.092653	0.055646	1.039388
0.094490	0.052325	1.036781
0.096327	0.048747	1.025655
0.098163	0.045956	1.027411
0.100000	0.043320	1.029265
