fs	Tr(Gyr)	m(1e5M0)
0.010000	0.076383	1.089558
0.011837	0.069578	1.092090
0.013673	0.063317	1.075752
0.015510	0.057332	1.061630
0.017347	0.052694	1.073102
0.019184	0.048369	1.083401
0.021020	0.044374	1.069727
0.022857	0.040661	1.057982
0.024694	0.036940	1.043894
0.026531	0.034239	1.049532
0.028367	0.031689	1.056096
0.030204	0.029292	1.063059
0.032041	0.027062	1.067840
0.033878	0.025000	1.058509
0.035714	0.023092	1.050576
0.037551	0.021303	1.044136
0.039388	0.019134	1.028667
0.041224	0.017861	1.031036
0.043061	0.016646	1.033628
0.044898	0.015492	1.036480
0.046735	0.014401	1.039526
0.048571	0.013373	1.042684
0.050408	0.012408	1.045810
0.052245	0.011508	1.048722
0.054082	0.010670	1.050827
0.055918	0.009893	1.047580
0.057755	0.009170	1.042859
0.059592	0.008497	1.038903
0.061429	0.007869	1.035561
0.063265	0.007282	1.032770
0.065102	0.006724	1.030273
0.066939	0.006171	1.027562
0.068776	0.005210	1.016217
0.070612	0.004858	1.017045
0.072449	0.004523	1.017895
0.074286	0.004206	1.018758
0.076122	0.003906	1.019643
0.077959	0.003622	1.020529
0.079796	0.003357	1.021425
0.081633	0.003109	1.022296
0.083469	0.002877	1.023155
0.085306	0.002661	1.023985
0.087143	0.002461	1.024789
0.088980	0.002276	1.025552
0.090816	0.002105	1.026263
0.092653	0.001948	1.026933
0.094490	0.001803	1.027547
0.096327	0.001670	1.028069
0.098163	0.001548	1.028502
0.100000	0.001437	1.028748
