fs	Tr(Gyr)	m(1e5M0)
0.010000	0.056511	1.000000
0.011837	0.051617	1.000000
0.013673	0.047047	1.000000
0.015510	0.042835	1.000000
0.017347	0.038186	1.000000
0.019184	0.035262	1.000000
0.021020	0.032490	1.000000
0.022857	0.029881	1.000000
0.024694	0.027447	1.000000
0.026531	0.025202	1.000000
0.028367	0.023131	1.000000
0.030204	0.021095	1.000000
0.032041	0.019061	1.000000
0.033878	0.017726	1.000000
0.035714	0.016457	1.000000
0.037551	0.015253	1.000000
0.039388	0.014115	1.000000
0.041224	0.013048	1.000000
0.043061	0.012051	1.000000
0.044898	0.011126	1.000000
0.046735	0.010273	1.000000
0.048571	0.009482	1.000000
0.050408	0.008750	1.000000
0.052245	0.008068	1.000000
0.054082	0.007426	1.000000
0.055918	0.006777	1.000000
0.057755	0.005776	1.000000
0.059592	0.005385	1.000000
0.061429	0.005012	1.000000
0.063265	0.004657	1.000000
0.065102	0.004320	1.000000
0.066939	0.004000	1.000000
0.068776	0.003700	1.000000
0.070612	0.003417	1.000000
0.072449	0.003154	1.000000
0.074286	0.002906	1.000000
0.076122	0.002678	1.000000
0.077959	0.002465	1.000000
0.079796	0.002269	1.000000
0.081633	0.002090	1.000000
0.083469	0.001924	1.000000
0.085306	0.001772	1.000000
0.087143	0.001633	1.000000
0.088980	0.001507	1.000000
0.090816	0.001391	1.000000
0.092653	0.001287	1.000000
0.094490	0.001190	1.000000
0.096327	0.001102	1.000000
0.098163	0.001020	1.000000
0.100000	0.000945	1.000000
