fs	Tr(Gyr)	m(1e5M0)
0.010000	0.039394	1.000000
0.011837	0.034665	1.000000
0.013673	0.031832	1.000000
0.015510	0.029153	1.000000
0.017347	0.026641	1.000000
0.019184	0.024313	1.000000
0.021020	0.022167	1.000000
0.022857	0.020105	1.000000
0.024694	0.017976	1.000000
0.026531	0.016654	1.000000
0.028367	0.015397	1.000000
0.030204	0.014205	1.000000
0.032041	0.013083	1.000000
0.033878	0.012032	1.000000
0.035714	0.011059	1.000000
0.037551	0.010160	1.000000
0.039388	0.009329	1.000000
0.041224	0.008563	1.000000
0.043061	0.007853	1.000000
0.044898	0.007170	1.000000
0.046735	0.006003	1.000000
0.048571	0.005594	1.000000
0.050408	0.005202	1.000000
0.052245	0.004829	1.000000
0.054082	0.004475	1.000000
0.055918	0.004137	1.000000
0.057755	0.003818	1.000000
0.059592	0.003520	1.000000
0.061429	0.003239	1.000000
0.063265	0.002976	1.000000
0.065102	0.002733	1.000000
0.066939	0.002507	1.000000
0.068776	0.002299	1.000000
0.070612	0.002106	1.000000
0.072449	0.001932	1.000000
0.074286	0.001770	1.000000
0.076122	0.001625	1.000000
0.077959	0.001491	1.000000
0.079796	0.001370	1.000000
0.081633	0.001259	1.000000
0.083469	0.001157	1.000000
0.085306	0.001066	1.000000
0.087143	0.000981	1.000000
0.088980	0.000904	1.000000
0.090816	0.000831	1.000000
0.092653	0.000766	1.000000
0.094490	0.000705	1.000000
0.096327	0.000647	1.000000
0.098163	0.000593	1.000000
0.100000	0.000541	1.000000
