fs	Tr(Gyr)	m(1e5M0)
0.010000	0.034702	1.000000
0.011837	0.030946	1.000000
0.013673	0.028286	1.000000
0.015510	0.025791	1.000000
0.017347	0.023482	1.000000
0.019184	0.021354	1.000000
0.021020	0.018645	1.000000
0.022857	0.017281	1.000000
0.024694	0.015977	1.000000
0.026531	0.014740	1.000000
0.028367	0.013569	1.000000
0.030204	0.012471	1.000000
0.032041	0.011446	1.000000
0.033878	0.010498	1.000000
0.035714	0.009624	1.000000
0.037551	0.008821	1.000000
0.039388	0.008075	1.000000
0.041224	0.007373	1.000000
0.043061	0.006112	1.000000
0.044898	0.005696	1.000000
0.046735	0.005298	1.000000
0.048571	0.004916	1.000000
0.050408	0.004555	1.000000
0.052245	0.004210	1.000000
0.054082	0.003884	1.000000
0.055918	0.003577	1.000000
0.057755	0.003289	1.000000
0.059592	0.003021	1.000000
0.061429	0.002769	1.000000
0.063265	0.002537	1.000000
0.065102	0.002324	1.000000
0.066939	0.002128	1.000000
0.068776	0.001947	1.000000
0.070612	0.001782	1.000000
0.072449	0.001631	1.000000
0.074286	0.001496	1.000000
0.076122	0.001372	1.000000
0.077959	0.001257	1.000000
0.079796	0.001154	1.000000
0.081633	0.001059	1.000000
0.083469	0.000973	1.000000
0.085306	0.000895	1.000000
0.087143	0.000821	1.000000
0.088980	0.000754	1.000000
0.090816	0.000691	1.000000
0.092653	0.000633	1.000000
0.094490	0.000577	1.000000
0.096327	0.000523	1.000000
0.098163	0.000472	1.000000
0.100000	0.000418	1.000000
