fs	Tr(Gyr)	m(1e5M0)
0.010000	1.975434	1.000000
0.011837	1.710189	1.000000
0.013673	1.489856	1.000000
0.015510	1.305219	1.000000
0.017347	1.151289	1.000000
0.019184	1.019164	1.000000
0.021020	0.907583	1.000000
0.022857	0.810916	1.000000
0.024694	0.727302	1.000000
0.026531	0.654757	1.000000
0.028367	0.590500	1.000000
0.030204	0.535313	1.000000
0.032041	0.486206	1.000000
0.033878	0.442557	1.000000
0.035714	0.403606	1.000000
0.037551	0.369351	1.000000
0.039388	0.338492	1.000000
0.041224	0.310738	1.000000
0.043061	0.285369	1.000000
0.044898	0.263199	1.000000
0.046735	0.242959	1.000000
0.048571	0.224520	1.000000
0.050408	0.207745	1.000000
0.052245	0.191784	1.000000
0.054082	0.178216	1.000000
0.055918	0.165679	1.000000
0.057755	0.154101	1.000000
0.059592	0.143428	1.000000
0.061429	0.133608	1.000000
0.063265	0.124571	1.000000
0.065102	0.116214	1.000000
0.066939	0.108036	1.000000
0.068776	0.101119	1.000000
0.070612	0.094657	1.000000
0.072449	0.088625	1.000000
0.074286	0.083005	1.000000
0.076122	0.077776	1.000000
0.077959	0.072915	1.000000
0.079796	0.068393	1.000000
0.081633	0.064176	1.000000
0.083469	0.060229	1.000000
0.085306	0.056493	1.000000
0.087143	0.052658	1.000000
0.088980	0.049555	1.000000
0.090816	0.046629	1.000000
0.092653	0.043873	1.000000
0.094490	0.041280	1.000000
0.096327	0.038846	1.000000
0.098163	0.036561	1.000000
0.100000	0.034416	1.000000
