fs	Tr(Gyr)	m(1e5M0)
0.010000	0.050221	1.000000
0.011837	0.045678	1.000000
0.013673	0.041490	1.000000
0.015510	0.036873	1.000000
0.017347	0.033986	1.000000
0.019184	0.031252	1.000000
0.021020	0.028681	1.000000
0.022857	0.026291	1.000000
0.024694	0.024088	1.000000
0.026531	0.022052	1.000000
0.028367	0.019563	1.000000
0.030204	0.018194	1.000000
0.032041	0.016887	1.000000
0.033878	0.015647	1.000000
0.035714	0.014471	1.000000
0.037551	0.013366	1.000000
0.039388	0.012330	1.000000
0.041224	0.011369	1.000000
0.043061	0.010479	1.000000
0.044898	0.009657	1.000000
0.046735	0.008899	1.000000
0.048571	0.008193	1.000000
0.050408	0.007533	1.000000
0.052245	0.006873	1.000000
0.054082	0.005835	1.000000
0.055918	0.005438	1.000000
0.057755	0.005060	1.000000
0.059592	0.004700	1.000000
0.061429	0.004358	1.000000
0.063265	0.004033	1.000000
0.065102	0.003727	1.000000
0.066939	0.003440	1.000000
0.068776	0.003171	1.000000
0.070612	0.002919	1.000000
0.072449	0.002687	1.000000
0.074286	0.002471	1.000000
0.076122	0.002272	1.000000
0.077959	0.002089	1.000000
0.079796	0.001920	1.000000
0.081633	0.001767	1.000000
0.083469	0.001625	1.000000
0.085306	0.001497	1.000000
0.087143	0.001380	1.000000
0.088980	0.001273	1.000000
0.090816	0.001175	1.000000
0.092653	0.001087	1.000000
0.094490	0.001004	1.000000
0.096327	0.000928	1.000000
0.098163	0.000860	1.000000
0.100000	0.000794	1.000000
