fs	Tr(Gyr)	m(1e5M0)
0.010000	0.955421	1.000000
0.011837	0.847260	1.000000
0.013673	0.753969	1.000000
0.015510	0.675192	1.000000
0.017347	0.605267	1.000000
0.019184	0.545928	1.000000
0.021020	0.493289	1.000000
0.022857	0.446682	1.000000
0.024694	0.406102	1.000000
0.026531	0.369796	1.000000
0.028367	0.337236	1.000000
0.030204	0.308781	1.000000
0.032041	0.283027	1.000000
0.033878	0.259769	1.000000
0.035714	0.238728	1.000000
0.037551	0.220164	1.000000
0.039388	0.203179	1.000000
0.041224	0.187709	1.000000
0.043061	0.173536	1.000000
0.044898	0.160529	1.000000
0.046735	0.149073	1.000000
0.048571	0.138475	1.000000
0.050408	0.128702	1.000000
0.052245	0.119720	1.000000
0.054082	0.111453	1.000000
0.055918	0.103275	1.000000
0.057755	0.096532	1.000000
0.059592	0.090223	1.000000
0.061429	0.084330	1.000000
0.063265	0.078837	1.000000
0.065102	0.073729	1.000000
0.066939	0.068989	1.000000
0.068776	0.064589	1.000000
0.070612	0.060491	1.000000
0.072449	0.056642	1.000000
0.074286	0.052624	1.000000
0.076122	0.049454	1.000000
0.077959	0.046462	1.000000
0.079796	0.043644	1.000000
0.081633	0.040992	1.000000
0.083469	0.038503	1.000000
0.085306	0.036168	1.000000
0.087143	0.033982	1.000000
0.088980	0.031934	1.000000
0.090816	0.030017	1.000000
0.092653	0.028216	1.000000
0.094490	0.026520	1.000000
0.096327	0.024921	1.000000
0.098163	0.023407	1.000000
0.100000	0.021950	1.000000
