fs	Tr(Gyr)	m(1e5M0)
0.010000	0.191942	1.078586
0.011837	0.174809	1.102823
0.013673	0.159181	1.089318
0.015510	0.144771	1.071841
0.017347	0.132699	1.090348
0.019184	0.121620	1.081825
0.021020	0.110895	1.053877
0.022857	0.102382	1.064176
0.024694	0.094446	1.077345
0.026531	0.087118	1.076685
0.028367	0.080383	1.062323
0.030204	0.073772	1.044598
0.032041	0.068544	1.051035
0.033878	0.063636	1.058918
0.035714	0.059055	1.067516
0.037551	0.054809	1.067172
0.039388	0.050888	1.056484
0.041224	0.047237	1.048475
0.043061	0.043429	1.034280
0.044898	0.040590	1.037770
0.046735	0.037903	1.041785
0.048571	0.035370	1.046285
0.050408	0.032993	1.051100
0.052245	0.030770	1.055767
0.054082	0.028701	1.057904
0.055918	0.026776	1.050762
0.057755	0.024982	1.045140
0.059592	0.023303	1.040734
0.061429	0.021704	1.036837
0.063265	0.019752	1.024541
0.065102	0.018527	1.026232
0.066939	0.017364	1.028051
0.068776	0.016258	1.029977
0.070612	0.015213	1.031997
0.072449	0.014226	1.034093
0.074286	0.013296	1.036231
0.076122	0.012424	1.038376
0.077959	0.011607	1.040432
0.079796	0.010842	1.042338
0.081633	0.010126	1.043889
0.083469	0.009456	1.041985
0.085306	0.008828	1.038683
0.087143	0.008240	1.035869
0.088980	0.007689	1.033481
0.090816	0.007169	1.031434
0.092653	0.006678	1.029666
0.094490	0.006215	1.028153
0.096327	0.005771	1.026726
0.098163	0.005340	1.025216
0.100000	0.004487	1.014913
