fs	Tr(Gyr)	m(1e5M0)
0.010000	2.691435	1.000000
0.011837	2.292741	1.000000
0.013673	1.971149	1.000000
0.015510	1.707312	1.000000
0.017347	1.488275	1.000000
0.019184	1.306690	1.000000
0.021020	1.152195	1.000000
0.022857	1.022372	1.000000
0.024694	0.910659	1.000000
0.026531	0.814353	1.000000
0.028367	0.731312	1.000000
0.030204	0.658705	1.000000
0.032041	0.595203	1.000000
0.033878	0.539659	1.000000
0.035714	0.490426	1.000000
0.037551	0.446339	1.000000
0.039388	0.407971	1.000000
0.041224	0.373464	1.000000
0.043061	0.342469	1.000000
0.044898	0.314511	1.000000
0.046735	0.289311	1.000000
0.048571	0.266904	1.000000
0.050408	0.246486	1.000000
0.052245	0.227913	1.000000
0.054082	0.211014	1.000000
0.055918	0.195047	1.000000
0.057755	0.181294	1.000000
0.059592	0.168600	1.000000
0.061429	0.156888	1.000000
0.063265	0.146097	1.000000
0.065102	0.136170	1.000000
0.066939	0.127028	1.000000
0.068776	0.118572	1.000000
0.070612	0.110288	1.000000
0.072449	0.103266	1.000000
0.074286	0.096709	1.000000
0.076122	0.090590	1.000000
0.077959	0.084888	1.000000
0.079796	0.079579	1.000000
0.081633	0.074643	1.000000
0.083469	0.070048	1.000000
0.085306	0.065763	1.000000
0.087143	0.061754	1.000000
0.088980	0.057984	1.000000
0.090816	0.054002	1.000000
0.092653	0.050845	1.000000
0.094490	0.047866	1.000000
0.096327	0.045061	1.000000
0.098163	0.042420	1.000000
0.100000	0.039940	1.000000
