fs	Tr(Gyr)	m(1e5M0)
0.010000	12.552180	1.132899
0.011837	9.315563	1.135343
0.013673	7.163851	1.114861
0.015510	5.663528	1.089899
0.017347	4.578261	1.109433
0.019184	3.767442	1.098075
0.021020	3.146793	1.091769
0.022857	2.661374	1.095779
0.024694	2.274890	1.085406
0.026531	1.962367	1.083388
0.028367	1.706471	1.088603
0.030204	1.493916	1.066280
0.032041	1.316593	1.087636
0.033878	1.166438	1.075415
0.035714	1.038270	1.061341
0.037551	0.928804	1.078320
0.039388	0.834029	1.075245
0.041224	0.751107	1.050302
0.043061	0.679580	1.060780
0.044898	0.616521	1.075111
0.046735	0.560809	1.068444
0.048571	0.510800	1.043484
0.050408	0.467322	1.050600
0.052245	0.428324	1.060224
0.054082	0.393296	1.071055
0.055918	0.361808	1.061457
0.057755	0.333371	1.051468
0.059592	0.307420	1.042132
0.061429	0.284386	1.048226
0.063265	0.263387	1.055662
0.065102	0.244235	1.063424
0.066939	0.226764	1.058058
0.068776	0.210779	1.050052
0.070612	0.195550	1.033490
0.072449	0.182346	1.037072
0.074286	0.170144	1.041295
0.076122	0.158864	1.046117
0.077959	0.148444	1.051384
0.079796	0.138815	1.056443
0.081633	0.129911	1.052584
0.083469	0.121661	1.046706
0.085306	0.113989	1.042473
0.087143	0.106319	1.028787
0.088980	0.099862	1.031212
0.090816	0.093820	1.033880
0.092653	0.088170	1.036790
0.094490	0.082892	1.039888
0.096327	0.077959	1.043087
0.098163	0.073349	1.046308
0.100000	0.069039	1.049200
