fs	Tr(Gyr)	m(1e5M0)
0.010000	0.255551	1.094833
0.011837	0.231953	1.103759
0.013673	0.210207	1.075050
0.015510	0.191994	1.097338
0.017347	0.175389	1.084597
0.019184	0.160039	1.064762
0.021020	0.147111	1.080604
0.022857	0.135216	1.084611
0.024694	0.124326	1.066748
0.026531	0.114252	1.055040
0.028367	0.105691	1.065526
0.030204	0.097742	1.077497
0.032041	0.090425	1.068999
0.033878	0.083681	1.056857
0.035714	0.077137	1.042603
0.037551	0.071815	1.048415
0.039388	0.066821	1.055455
0.041224	0.062157	1.063226
0.043061	0.057830	1.067046
0.044898	0.053828	1.056574
0.046735	0.050113	1.048933
0.048571	0.046072	1.031321
0.050408	0.043146	1.034265
0.052245	0.040377	1.037614
0.054082	0.037762	1.041406
0.055918	0.035299	1.045556
0.057755	0.032990	1.049874
0.059592	0.030833	1.053967
0.061429	0.028823	1.054876
0.063265	0.026947	1.048578
0.065102	0.025195	1.043599
0.066939	0.023553	1.039683
0.068776	0.021996	1.036379
0.070612	0.020018	1.023278
0.072449	0.018801	1.024799
0.074286	0.017646	1.026430
0.076122	0.016547	1.028143
0.077959	0.015508	1.029945
0.079796	0.014526	1.031798
0.081633	0.013602	1.033695
0.083469	0.012731	1.035579
0.085306	0.011914	1.037455
0.087143	0.011147	1.039263
0.088980	0.010429	1.040894
0.090816	0.009756	1.042229
0.092653	0.009125	1.039914
0.094490	0.008533	1.037044
0.096327	0.007975	1.034574
0.098163	0.007451	1.032464
0.100000	0.006958	1.030651
