fs	Tr(Gyr)	m(1e5M0)
0.010000	0.387580	1.000000
0.011837	0.349475	1.000000
0.013673	0.315555	1.000000
0.015510	0.286330	1.000000
0.017347	0.259574	1.000000
0.019184	0.237055	1.000000
0.021020	0.216558	1.000000
0.022857	0.197463	1.000000
0.024694	0.181558	1.000000
0.026531	0.166916	1.000000
0.028367	0.153551	1.000000
0.030204	0.140797	1.000000
0.032041	0.130337	1.000000
0.033878	0.120617	1.000000
0.035714	0.111626	1.000000
0.037551	0.103371	1.000000
0.039388	0.095782	1.000000
0.041224	0.088472	1.000000
0.043061	0.082421	1.000000
0.044898	0.076754	1.000000
0.046735	0.071463	1.000000
0.048571	0.066550	1.000000
0.050408	0.062010	1.000000
0.052245	0.057808	1.000000
0.054082	0.053886	1.000000
0.055918	0.049839	1.000000
0.057755	0.046697	1.000000
0.059592	0.043729	1.000000
0.061429	0.040932	1.000000
0.063265	0.038304	1.000000
0.065102	0.035842	1.000000
0.066939	0.033542	1.000000
0.068776	0.031398	1.000000
0.070612	0.029399	1.000000
0.072449	0.027530	1.000000
0.074286	0.025778	1.000000
0.076122	0.024125	1.000000
0.077959	0.022010	1.000000
0.079796	0.020699	1.000000
0.081633	0.019452	1.000000
0.083469	0.018267	1.000000
0.085306	0.017143	1.000000
0.087143	0.016081	1.000000
0.088980	0.015078	1.000000
0.090816	0.014134	1.000000
0.092653	0.013246	1.000000
0.094490	0.012412	1.000000
0.096327	0.011629	1.000000
0.098163	0.010896	1.000000
0.100000	0.010207	1.000000
