fs	Tr(Gyr)	m(1e5M0)
0.010000	0.108344	1.000000
0.011837	0.097428	1.000000
0.013673	0.089116	1.000000
0.015510	0.081397	1.000000
0.017347	0.074316	1.000000
0.019184	0.067450	1.000000
0.021020	0.062184	1.000000
0.022857	0.057250	1.000000
0.024694	0.052672	1.000000
0.026531	0.048462	1.000000
0.028367	0.043874	1.000000
0.030204	0.040802	1.000000
0.032041	0.037892	1.000000
0.033878	0.035144	1.000000
0.035714	0.032563	1.000000
0.037551	0.030156	1.000000
0.039388	0.027932	1.000000
0.041224	0.025875	1.000000
0.043061	0.023967	1.000000
0.044898	0.021555	1.000000
0.046735	0.020168	1.000000
0.048571	0.018846	1.000000
0.050408	0.017587	1.000000
0.052245	0.016391	1.000000
0.054082	0.015263	1.000000
0.055918	0.014200	1.000000
0.057755	0.013201	1.000000
0.059592	0.012269	1.000000
0.061429	0.011402	1.000000
0.063265	0.010596	1.000000
0.065102	0.009846	1.000000
0.066939	0.009149	1.000000
0.068776	0.008497	1.000000
0.070612	0.007888	1.000000
0.072449	0.007313	1.000000
0.074286	0.006764	1.000000
0.076122	0.005699	1.000000
0.077959	0.005326	1.000000
0.079796	0.004969	1.000000
0.081633	0.004632	1.000000
0.083469	0.004311	1.000000
0.085306	0.004007	1.000000
0.087143	0.003721	1.000000
0.088980	0.003453	1.000000
0.090816	0.003201	1.000000
0.092653	0.002968	1.000000
0.094490	0.002749	1.000000
0.096327	0.002547	1.000000
0.098163	0.002358	1.000000
0.100000	0.002185	1.000000
