fs	Tr(Gyr)	m(1e5M0)
0.010000	2.064930	1.130315
0.011837	1.790167	1.102664
0.013673	1.562969	1.106287
0.015510	1.372438	1.113059
0.017347	1.211021	1.077658
0.019184	1.075007	1.108637
0.021020	0.957245	1.069486
0.022857	0.857078	1.093661
0.024694	0.769701	1.083215
0.026531	0.693365	1.071759
0.028367	0.626970	1.093654
0.030204	0.568308	1.072456
0.032041	0.516386	1.063593
0.033878	0.470757	1.080605
0.035714	0.429963	1.074442
0.037551	0.392950	1.049522
0.039388	0.360772	1.059187
0.041224	0.331620	1.072323
0.043061	0.305256	1.071847
0.044898	0.281390	1.057886
0.046735	0.259487	1.046055
0.048571	0.240167	1.053672
0.050408	0.222466	1.063215
0.052245	0.206278	1.070193
0.054082	0.191480	1.057672
0.055918	0.177862	1.048761
0.057755	0.165143	1.039681
0.059592	0.153938	1.044786
0.061429	0.143556	1.050850
0.063265	0.133954	1.057559
0.065102	0.125084	1.062287
0.066939	0.116890	1.053235
0.068776	0.109296	1.046880
0.070612	0.101654	1.030551
0.072449	0.095338	1.033381
0.074286	0.089422	1.036622
0.076122	0.083886	1.040246
0.077959	0.078713	1.044208
0.079796	0.073884	1.048355
0.081633	0.069378	1.052302
0.083469	0.065176	1.051310
0.085306	0.061249	1.045951
0.087143	0.057571	1.041910
0.088980	0.054115	1.038834
0.090816	0.050821	1.035642
0.092653	0.047408	1.026894
0.094490	0.044672	1.028790
0.096327	0.042087	1.030792
0.098163	0.039653	1.032902
0.100000	0.037359	1.035083
