fs	Tr(Gyr)	m(1e5M0)
0.010000	0.221737	1.109625
0.011837	0.200459	1.077153
0.013673	0.182837	1.100500
0.015510	0.166768	1.086357
0.017347	0.151957	1.068448
0.019184	0.139492	1.085762
0.021020	0.128040	1.082632
0.022857	0.116833	1.050518
0.024694	0.108012	1.059525
0.026531	0.099784	1.071462
0.028367	0.092165	1.080891
0.030204	0.085164	1.065142
0.032041	0.078076	1.041130
0.033878	0.072648	1.046626
0.035714	0.067543	1.053454
0.037551	0.062763	1.061459
0.039388	0.058317	1.068917
0.041224	0.054205	1.061125
0.043061	0.050399	1.052178
0.044898	0.046178	1.031381
0.046735	0.043222	1.034372
0.048571	0.040420	1.037811
0.050408	0.037773	1.041712
0.052245	0.035279	1.046066
0.054082	0.032940	1.050645
0.055918	0.030755	1.054997
0.057755	0.028717	1.056126
0.059592	0.026822	1.049465
0.061429	0.025052	1.044223
0.063265	0.023394	1.040078
0.065102	0.021819	1.036515
0.066939	0.019860	1.023936
0.068776	0.018641	1.025538
0.070612	0.017483	1.027258
0.072449	0.016383	1.029079
0.074286	0.015341	1.030992
0.076122	0.014358	1.032969
0.077959	0.013432	1.034979
0.079796	0.012563	1.036998
0.081633	0.011746	1.038957
0.083469	0.010981	1.040810
0.085306	0.010264	1.042442
0.087143	0.009593	1.042492
0.088980	0.008965	1.039228
0.090816	0.008377	1.036400
0.092653	0.007822	1.033975
0.094490	0.007301	1.031911
0.096327	0.006809	1.030124
0.098163	0.006345	1.028593
0.100000	0.005906	1.027231
