fs	Tr(Gyr)	m(1e5M0)
0.010000	0.213166	1.000000
0.011837	0.192848	1.000000
0.013673	0.175215	1.000000
0.015510	0.158940	1.000000
0.017347	0.145436	1.000000
0.019184	0.133046	1.000000
0.021020	0.121066	1.000000
0.022857	0.111619	1.000000
0.024694	0.102823	1.000000
0.026531	0.094703	1.000000
0.028367	0.087265	1.000000
0.030204	0.080013	1.000000
0.032041	0.074271	1.000000
0.033878	0.068882	1.000000
0.035714	0.063854	1.000000
0.037551	0.059201	1.000000
0.039388	0.054913	1.000000
0.041224	0.050936	1.000000
0.043061	0.046852	1.000000
0.044898	0.043765	1.000000
0.046735	0.040847	1.000000
0.048571	0.038095	1.000000
0.050408	0.035512	1.000000
0.052245	0.033099	1.000000
0.054082	0.030853	1.000000
0.055918	0.028771	1.000000
0.057755	0.026835	1.000000
0.059592	0.025025	1.000000
0.061429	0.023303	1.000000
0.063265	0.021271	1.000000
0.065102	0.019953	1.000000
0.066939	0.018700	1.000000
0.068776	0.017510	1.000000
0.070612	0.016383	1.000000
0.072449	0.015317	1.000000
0.074286	0.014316	1.000000
0.076122	0.013374	1.000000
0.077959	0.012493	1.000000
0.079796	0.011668	1.000000
0.081633	0.010896	1.000000
0.083469	0.010176	1.000000
0.085306	0.009503	1.000000
0.087143	0.008873	1.000000
0.088980	0.008280	1.000000
0.090816	0.007724	1.000000
0.092653	0.007197	1.000000
0.094490	0.006700	1.000000
0.096327	0.006227	1.000000
0.098163	0.005762	1.000000
0.100000	0.004893	1.000000
