fs	Tr(Gyr)	m(1e5M0)
0.010000	0.562778	1.108018
0.011837	0.505788	1.116013
0.013673	0.455412	1.076537
0.015510	0.412691	1.103978
0.017347	0.374414	1.086988
0.019184	0.340409	1.081340
0.021020	0.310571	1.095724
0.022857	0.282990	1.057965
0.024694	0.259690	1.071749
0.026531	0.238404	1.089576
0.028367	0.219080	1.071776
0.030204	0.201232	1.053679
0.032041	0.185855	1.064564
0.033878	0.171700	1.078035
0.035714	0.158747	1.069502
0.037551	0.146836	1.055873
0.039388	0.135836	1.046994
0.041224	0.126239	1.054516
0.043061	0.117329	1.063633
0.044898	0.109096	1.071238
0.046735	0.101514	1.059052
0.048571	0.094498	1.050323
0.050408	0.087610	1.036705
0.052245	0.081902	1.040904
0.054082	0.076550	1.045873
0.055918	0.071544	1.051531
0.057755	0.066879	1.057411
0.059592	0.062544	1.060468
0.061429	0.058515	1.052267
0.063265	0.054763	1.046211
0.065102	0.051240	1.041483
0.066939	0.047495	1.028970
0.068776	0.044617	1.031376
0.070612	0.041898	1.034036
0.072449	0.039334	1.036926
0.074286	0.036920	1.040014
0.076122	0.034653	1.043231
0.077959	0.032528	1.046444
0.079796	0.030537	1.049345
0.081633	0.028671	1.048469
0.083469	0.026923	1.043933
0.085306	0.025281	1.040296
0.087143	0.023731	1.037370
0.088980	0.022269	1.035022
0.090816	0.020871	1.032841
0.092653	0.019096	1.021909
0.094490	0.017973	1.023168
0.096327	0.016908	1.024481
0.098163	0.015900	1.025840
0.100000	0.014944	1.027225
