fs	Tr(Gyr)	m(1e5M0)
0.010000	0.027804	1.066294
0.011837	0.025362	1.076292
0.013673	0.023085	1.079238
0.015510	0.020976	1.067116
0.017347	0.019017	1.057499
0.019184	0.016619	1.037759
0.021020	0.015362	1.041626
0.022857	0.014165	1.045923
0.024694	0.013033	1.050564
0.026531	0.011966	1.055236
0.028367	0.010970	1.059142
0.030204	0.010049	1.057593
0.032041	0.009198	1.050534
0.033878	0.008412	1.044596
0.035714	0.007685	1.039641
0.037551	0.006999	1.035279
0.039388	0.005725	1.018395
0.041224	0.005328	1.019523
0.043061	0.004947	1.020686
0.044898	0.004585	1.021911
0.046735	0.004240	1.023183
0.048571	0.003912	1.024467
0.050408	0.003603	1.025806
0.052245	0.003312	1.027115
0.054082	0.003041	1.028435
0.055918	0.002789	1.029702
0.057755	0.002554	1.030899
0.059592	0.002337	1.032004
0.061429	0.002138	1.032995
0.063265	0.001955	1.033798
0.065102	0.001788	1.034344
0.066939	0.001635	1.033975
0.068776	0.001497	1.031094
0.070612	0.001370	1.028440
0.072449	0.001256	1.026023
0.074286	0.001149	1.023801
0.076122	0.001053	1.021793
0.077959	0.000967	1.019976
0.079796	0.000886	1.018288
0.081633	0.000812	1.016748
0.083469	0.000742	1.015314
0.085306	0.000679	1.014006
0.087143	0.000620	1.012762
0.088980	0.000562	1.011582
0.090816	0.000508	1.010445
0.092653	0.000452	1.009288
0.094490	0.000389	1.007988
0.096327	-1.000000	-1.000000
0.098163	-1.000000	-1.000000
0.100000	-1.000000	-1.000000
