fs	Tr(Gyr)	m(1e5M0)
0.010000	0.036235	1.079944
0.011837	0.031968	1.053661
0.013673	0.029351	1.061750
0.015510	0.026880	1.070922
0.017347	0.024571	1.077614
0.019184	0.022436	1.066379
0.021020	0.020460	1.056677
0.022857	0.017899	1.033676
0.024694	0.016609	1.036909
0.026531	0.015378	1.040543
0.028367	0.014207	1.044531
0.030204	0.013102	1.048769
0.032041	0.012063	1.053017
0.033878	0.011095	1.056609
0.035714	0.010197	1.055881
0.037551	0.009368	1.049254
0.039388	0.008601	1.043711
0.041224	0.007893	1.039094
0.043061	0.007228	1.035141
0.044898	0.006570	1.031023
0.046735	0.005502	1.018103
0.048571	0.005118	1.019145
0.050408	0.004753	1.020243
0.052245	0.004406	1.021388
0.054082	0.004077	1.022551
0.055918	0.003765	1.023735
0.057755	0.003472	1.024946
0.059592	0.003197	1.026149
0.061429	0.002939	1.027330
0.063265	0.002701	1.028471
0.065102	0.002478	1.029542
0.066939	0.002275	1.030552
0.068776	0.002086	1.031451
0.070612	0.001914	1.032202
0.072449	0.001757	1.032792
0.074286	0.001613	1.033047
0.076122	0.001481	1.030756
0.077959	0.001362	1.028250
0.079796	0.001252	1.025961
0.081633	0.001153	1.023864
0.083469	0.001061	1.021960
0.085306	0.000978	1.020206
0.087143	0.000901	1.018600
0.088980	0.000830	1.017122
0.090816	0.000763	1.015750
0.092653	0.000702	1.014483
0.094490	0.000647	1.013322
0.096327	0.000593	1.012203
0.098163	0.000541	1.011148
0.100000	0.000491	1.010114
