fs	Tr(Gyr)	m(1e5M0)
0.010000	0.813053	1.113551
0.011837	0.725908	1.118117
0.013673	0.650043	1.081174
0.015510	0.585394	1.112233
0.017347	0.527563	1.071508
0.019184	0.478148	1.095748
0.021020	0.434017	1.085441
0.022857	0.394645	1.071438
0.024694	0.360220	1.092570
0.026531	0.329244	1.075839
0.028367	0.301223	1.060492
0.030204	0.276718	1.075321
0.032041	0.254433	1.081267
0.033878	0.234209	1.063483
0.035714	0.215712	1.052497
0.037551	0.199462	1.062724
0.039388	0.184532	1.074880
0.041224	0.170878	1.066821
0.043061	0.158357	1.054911
0.044898	0.146627	1.043523
0.046735	0.136439	1.049913
0.048571	0.126983	1.057760
0.050408	0.118235	1.066030
0.052245	0.110167	1.061605
0.054082	0.102718	1.052366
0.055918	0.095180	1.032920
0.057755	0.089097	1.036305
0.059592	0.083393	1.040305
0.061429	0.078050	1.044900
0.063265	0.073059	1.050037
0.065102	0.068406	1.055246
0.066939	0.064077	1.057960
0.068776	0.060049	1.050622
0.070612	0.056291	1.045151
0.072449	0.052764	1.040996
0.074286	0.048939	1.027335
0.076122	0.046030	1.029469
0.077959	0.043279	1.031799
0.079796	0.040685	1.034334
0.081633	0.038241	1.037021
0.083469	0.035944	1.039844
0.085306	0.033786	1.042697
0.087143	0.031761	1.045476
0.088980	0.029861	1.047905
0.090816	0.028080	1.045445
0.092653	0.026403	1.041632
0.094490	0.024824	1.038556
0.096327	0.023335	1.036090
0.098163	0.021923	1.034060
0.100000	0.020581	1.032264
