fs	Tr(Gyr)	m(1e5M0)
0.010000	1.510831	1.000000
0.011837	1.321303	1.000000
0.013673	1.162479	1.000000
0.015510	1.027926	1.000000
0.017347	0.912435	1.000000
0.019184	0.814658	1.000000
0.021020	0.729446	1.000000
0.022857	0.655674	1.000000
0.024694	0.591328	1.000000
0.026531	0.534307	1.000000
0.028367	0.485054	1.000000
0.030204	0.441115	1.000000
0.032041	0.401361	1.000000
0.033878	0.367177	1.000000
0.035714	0.336290	1.000000
0.037551	0.308451	1.000000
0.039388	0.282689	1.000000
0.041224	0.260649	1.000000
0.043061	0.240494	1.000000
0.044898	0.222092	1.000000
0.046735	0.205341	1.000000
0.048571	0.190065	1.000000
0.050408	0.175797	1.000000
0.052245	0.163365	1.000000
0.054082	0.151873	1.000000
0.055918	0.141269	1.000000
0.057755	0.131511	1.000000
0.059592	0.122535	1.000000
0.061429	0.114245	1.000000
0.063265	0.106122	1.000000
0.065102	0.099285	1.000000
0.066939	0.092897	1.000000
0.068776	0.086931	1.000000
0.070612	0.081374	1.000000
0.072449	0.076204	1.000000
0.074286	0.071402	1.000000
0.076122	0.066936	1.000000
0.077959	0.062772	1.000000
0.079796	0.058874	1.000000
0.081633	0.054696	1.000000
0.083469	0.051456	1.000000
0.085306	0.048398	1.000000
0.087143	0.045514	1.000000
0.088980	0.042801	1.000000
0.090816	0.040251	1.000000
0.092653	0.037856	1.000000
0.094490	0.035610	1.000000
0.096327	0.033502	1.000000
0.098163	0.031525	1.000000
0.100000	0.029670	1.000000
