fs	Tr(Gyr)	m(1e5M0)
0.010000	35.726560	1.123830
0.011837	22.230370	1.120439
0.013673	15.034570	1.124203
0.015510	10.795390	1.115998
0.017347	8.102518	1.088409
0.019184	6.290818	1.106459
0.021020	5.014148	1.093707
0.022857	4.081769	1.091740
0.024694	3.380074	1.089116
0.026531	2.839164	1.087795
0.028367	2.413251	1.076142
0.030204	2.072550	1.094664
0.032041	1.794891	1.060389
0.033878	1.567319	1.078051
0.035714	1.377452	1.082059
0.037551	1.217217	1.055057
0.039388	1.082189	1.068625
0.041224	0.966437	1.084693
0.043061	0.866657	1.064461
0.044898	0.779953	1.053338
0.046735	0.704859	1.065091
0.048571	0.638895	1.077876
0.050408	0.580770	1.061690
0.052245	0.528896	1.044495
0.054082	0.483552	1.051935
0.055918	0.442978	1.061642
0.057755	0.406616	1.070951
0.059592	0.373968	1.058049
0.061429	0.343913	1.037140
0.063265	0.317684	1.041892
0.065102	0.293822	1.047828
0.066939	0.272095	1.054915
0.068776	0.252300	1.062224
0.070612	0.234251	1.056928
0.072449	0.217746	1.049390
0.074286	0.202024	1.032605
0.076122	0.188383	1.035970
0.077959	0.175786	1.039922
0.079796	0.164149	1.044396
0.081633	0.153400	1.049306
0.083469	0.143471	1.054222
0.085306	0.134290	1.053290
0.087143	0.125784	1.047253
0.088980	0.117886	1.042958
0.090816	0.110509	1.039492
0.092653	0.103272	1.029773
0.094490	0.097047	1.032241
0.096327	0.091227	1.034905
0.098163	0.085787	1.037761
0.100000	0.080702	1.040732
