fs	Tr(Gyr)	m(1e5M0)
0.010000	6.197470	1.000000
0.011837	4.959062	1.000000
0.013673	4.044037	1.000000
0.015510	3.350046	1.000000
0.017347	2.812501	1.000000
0.019184	2.387929	1.000000
0.021020	2.046425	1.000000
0.022857	1.770016	1.000000
0.024694	1.541638	1.000000
0.026531	1.351663	1.000000
0.028367	1.192113	1.000000
0.030204	1.056374	1.000000
0.032041	0.941353	1.000000
0.033878	0.842089	1.000000
0.035714	0.755660	1.000000
0.037551	0.681441	1.000000
0.039388	0.616201	1.000000
0.041224	0.558770	1.000000
0.043061	0.507696	1.000000
0.044898	0.463160	1.000000
0.046735	0.423326	1.000000
0.048571	0.387688	1.000000
0.050408	0.355737	1.000000
0.052245	0.326730	1.000000
0.054082	0.301154	1.000000
0.055918	0.277917	1.000000
0.057755	0.256812	1.000000
0.059592	0.237645	1.000000
0.061429	0.220185	1.000000
0.063265	0.203828	1.000000
0.065102	0.189524	1.000000
0.066939	0.176343	1.000000
0.068776	0.164200	1.000000
0.070612	0.153026	1.000000
0.072449	0.142742	1.000000
0.074286	0.133267	1.000000
0.076122	0.124502	1.000000
0.077959	0.115865	1.000000
0.079796	0.108555	1.000000
0.081633	0.101734	1.000000
0.083469	0.095370	1.000000
0.085306	0.089440	1.000000
0.087143	0.083917	1.000000
0.088980	0.078773	1.000000
0.090816	0.073983	1.000000
0.092653	0.069516	1.000000
0.094490	0.065339	1.000000
0.096327	0.061426	1.000000
0.098163	0.057737	1.000000
0.100000	0.053849	1.000000
