fs	Tr(Gyr)	m(1e5M0)
0.010000	0.067503	1.095891
0.011837	0.061292	1.079445
0.013673	0.055307	1.064467
0.015510	0.050736	1.076731
0.017347	0.046476	1.084263
0.019184	0.042548	1.069297
0.021020	0.038131	1.041685
0.022857	0.035341	1.046938
0.024694	0.032696	1.053220
0.026531	0.030201	1.060405
0.028367	0.027865	1.067388
0.030204	0.025698	1.064954
0.032041	0.023696	1.055521
0.033878	0.021840	1.048161
0.035714	0.019452	1.028554
0.037551	0.018150	1.030935
0.039388	0.016910	1.033603
0.041224	0.015731	1.036526
0.043061	0.014613	1.039681
0.044898	0.013558	1.042983
0.046735	0.012566	1.046298
0.048571	0.011640	1.049402
0.050408	0.010779	1.051765
0.052245	0.009982	1.048928
0.054082	0.009241	1.043911
0.055918	0.008552	1.039686
0.057755	0.007909	1.036144
0.059592	0.007310	1.033177
0.061429	0.006738	1.030508
0.063265	0.006145	1.027061
0.065102	0.005223	1.016612
0.066939	0.004868	1.017470
0.068776	0.004529	1.018365
0.070612	0.004208	1.019274
0.072449	0.003906	1.020206
0.074286	0.003619	1.021137
0.076122	0.003351	1.022062
0.077959	0.003099	1.022990
0.079796	0.002864	1.023883
0.081633	0.002648	1.024778
0.083469	0.002446	1.025620
0.085306	0.002259	1.026414
0.087143	0.002086	1.027165
0.088980	0.001929	1.027858
0.090816	0.001783	1.028456
0.092653	0.001649	1.028983
0.094490	0.001527	1.029370
0.096327	0.001414	1.029043
0.098163	0.001313	1.027220
0.100000	0.001218	1.025247
