fs	Tr(Gyr)	m(1e5M0)
0.010000	0.140320	1.000000
0.011837	0.127793	1.000000
0.013673	0.116289	1.000000
0.015510	0.105261	1.000000
0.017347	0.096607	1.000000
0.019184	0.088567	1.000000
0.021020	0.081185	1.000000
0.022857	0.073841	1.000000
0.024694	0.068307	1.000000
0.026531	0.063108	1.000000
0.028367	0.058259	1.000000
0.030204	0.053783	1.000000
0.032041	0.049665	1.000000
0.033878	0.045277	1.000000
0.035714	0.042189	1.000000
0.037551	0.039266	1.000000
0.039388	0.036506	1.000000
0.041224	0.033915	1.000000
0.043061	0.031496	1.000000
0.044898	0.029254	1.000000
0.046735	0.027179	1.000000
0.048571	0.025254	1.000000
0.050408	0.023443	1.000000
0.052245	0.021270	1.000000
0.054082	0.019918	1.000000
0.055918	0.018631	1.000000
0.057755	0.017409	1.000000
0.059592	0.016250	1.000000
0.061429	0.015156	1.000000
0.063265	0.014125	1.000000
0.065102	0.013159	1.000000
0.066939	0.012257	1.000000
0.068776	0.011414	1.000000
0.070612	0.010630	1.000000
0.072449	0.009900	1.000000
0.074286	0.009218	1.000000
0.076122	0.008582	1.000000
0.077959	0.007983	1.000000
0.079796	0.007422	1.000000
0.081633	0.006888	1.000000
0.083469	0.006374	1.000000
0.085306	0.005392	1.000000
0.087143	0.005039	1.000000
0.088980	0.004703	1.000000
0.090816	0.004384	1.000000
0.092653	0.004083	1.000000
0.094490	0.003798	1.000000
0.096327	0.003530	1.000000
0.098163	0.003279	1.000000
0.100000	0.003046	1.000000
