fs	Tr(Gyr)	m(1e5M0)
0.010000	6.541793	1.132466
0.011837	5.240043	1.111894
0.013673	4.277590	1.090347
0.015510	3.548332	1.114196
0.017347	2.981823	1.101325
0.019184	2.534224	1.092973
0.021020	2.174752	1.101761
0.022857	1.881139	1.067199
0.024694	1.640680	1.090708
0.026531	1.439726	1.084714
0.028367	1.270520	1.072778
0.030204	1.127431	1.095567
0.032041	1.004160	1.055136
0.033878	0.899491	1.068651
0.035714	0.808458	1.087677
0.037551	0.729043	1.068558
0.039388	0.659316	1.056292
0.041224	0.598515	1.069654
0.043061	0.544635	1.078356
0.044898	0.496789	1.061362
0.046735	0.453908	1.048901
0.048571	0.416164	1.058112
0.050408	0.382190	1.069648
0.052245	0.351604	1.066158
0.054082	0.323997	1.054649
0.055918	0.298677	1.042070
0.057755	0.276323	1.048263
0.059592	0.255914	1.055943
0.061429	0.237285	1.064252
0.063265	0.220279	1.059757
0.065102	0.204722	1.051113
0.066939	0.189886	1.034243
0.068776	0.177050	1.038025
0.070612	0.165179	1.042510
0.072449	0.154199	1.047659
0.074286	0.144054	1.053288
0.076122	0.134679	1.058403
0.077959	0.126010	1.052236
0.079796	0.117975	1.046388
0.081633	0.110496	1.042118
0.083469	0.103080	1.030012
0.085306	0.096792	1.032627
0.087143	0.090909	1.035523
0.088980	0.085408	1.038676
0.090816	0.080269	1.042019
0.092653	0.075469	1.045459
0.094490	0.070986	1.048804
0.096327	0.066793	1.049044
0.098163	0.062869	1.044453
0.100000	0.059188	1.040913
