fs	Tr(Gyr)	m(1e5M0)
0.010000	291.594000	1.116634
0.011837	110.451200	1.105914
0.013673	53.202690	1.091965
0.015510	30.155070	1.115910
0.017347	19.114280	1.115240
0.019184	13.107390	1.085912
0.021020	9.515001	1.105183
0.022857	7.205229	1.088495
0.024694	5.635685	1.093040
0.026531	4.520787	1.082143
0.028367	3.700915	1.091842
0.030204	3.079780	1.069330
0.032041	2.598828	1.093413
0.033878	2.218105	1.072529
0.035714	1.911878	1.069172
0.037551	1.662153	1.089189
0.039388	1.455578	1.067353
0.041224	1.282863	1.060187
0.043061	1.137463	1.076005
0.044898	1.013572	1.071905
0.046735	0.906725	1.047260
0.048571	0.815381	1.056279
0.050408	0.735780	1.068709
0.052245	0.666133	1.070342
0.054082	0.604908	1.056888
0.055918	0.550550	1.045215
0.057755	0.502904	1.052827
0.059592	0.460384	1.062371
0.061429	0.422359	1.067233
0.063265	0.388265	1.055579
0.065102	0.356994	1.036769
0.066939	0.329616	1.041387
0.068776	0.304754	1.047070
0.070612	0.282147	1.053768
0.072449	0.261574	1.060701
0.074286	0.242828	1.056311
0.076122	0.225697	1.049040
0.077959	0.209955	1.043563
0.079796	0.195221	1.034754
0.081633	0.182161	1.038424
0.083469	0.170103	1.042576
0.085306	0.158971	1.047121
0.087143	0.148690	1.051815
0.088980	0.139184	1.054317
0.090816	0.130384	1.048094
0.092653	0.122217	1.043594
0.094490	0.114611	1.040268
0.096327	0.107050	1.028348
0.098163	0.100615	1.030600
0.100000	0.094601	1.033057
