fs	Tr(Gyr)	m(1e5M0)
0.010000	0.040934	1.090507
0.011837	0.037135	1.076087
0.013673	0.032938	1.051475
0.015510	0.030298	1.059037
0.017347	0.027806	1.067754
0.019184	0.025472	1.075388
0.021020	0.023311	1.067033
0.022857	0.021316	1.057114
0.024694	0.019412	1.048303
0.026531	0.017320	1.034617
0.028367	0.016067	1.037918
0.030204	0.014877	1.041580
0.032041	0.013749	1.045540
0.033878	0.012686	1.049627
0.035714	0.011690	1.053492
0.037551	0.010764	1.056307
0.039388	0.009909	1.052264
0.041224	0.009116	1.046314
0.043061	0.008384	1.041351
0.044898	0.007705	1.037198
0.046735	0.007064	1.033597
0.048571	0.005809	1.016917
0.050408	0.005416	1.017887
0.052245	0.005039	1.018898
0.054082	0.004680	1.019944
0.055918	0.004339	1.021032
0.057755	0.004017	1.022149
0.059592	0.003711	1.023285
0.061429	0.003425	1.024428
0.063265	0.003155	1.025563
0.065102	0.002904	1.026681
0.066939	0.002671	1.027772
0.068776	0.002455	1.028803
0.070612	0.002256	1.029769
0.072449	0.002073	1.030623
0.074286	0.001904	1.031378
0.076122	0.001751	1.031970
0.077959	0.001610	1.032321
0.079796	0.001481	1.030777
0.081633	0.001365	1.028314
0.083469	0.001257	1.026065
0.085306	0.001159	1.024011
0.087143	0.001069	1.022127
0.088980	0.000988	1.020414
0.090816	0.000911	1.018829
0.092653	0.000842	1.017372
0.094490	0.000777	1.016041
0.096327	0.000718	1.014795
0.098163	0.000661	1.013633
0.100000	0.000610	1.012555
