time	z	x	y	z	vx	vy	vz	mass
1.000000e-05	1.974988e+01	3.523003e-04	3.523003e-04	4.982278e-04	3.467987e+01	3.467987e+01	4.904474e+01	1.000205e+00
2.000000e-05	1.974923e+01	6.957422e-04	6.957422e-04	9.839281e-04	3.406948e+01	3.406948e+01	4.818152e+01	1.000409e+00
3.000000e-05	1.974858e+01	1.034430e-03	1.034430e-03	1.462905e-03	3.369056e+01	3.369056e+01	4.764565e+01	1.000614e+00
4.000000e-05	1.974793e+01	1.369876e-03	1.369876e-03	1.937297e-03	3.341036e+01	3.341036e+01	4.724939e+01	1.000801e+00
5.000000e-05	1.974728e+01	1.702822e-03	1.702822e-03	2.408155e-03	3.318598e+01	3.318598e+01	4.693207e+01	1.000923e+00
6.000000e-05	1.974663e+01	2.033712e-03	2.033712e-03	2.876103e-03	3.299667e+01	3.299667e+01	4.666434e+01	1.001007e+00
7.000000e-05	1.974598e+01	2.362836e-03	2.362836e-03	3.341554e-03	3.283136e+01	3.283136e+01	4.643055e+01	1.001069e+00
8.000000e-05	1.974533e+01	2.690398e-03	2.690398e-03	3.804797e-03	3.268351e+01	3.268351e+01	4.622147e+01	1.001116e+00
9.000000e-05	1.974467e+01	3.016550e-03	3.016550e-03	4.266047e-03	3.254896e+01	3.254896e+01	4.603118e+01	1.001153e+00
1.000000e-04	1.974402e+01	3.341412e-03	3.341412e-03	4.725470e-03	3.242488e+01	3.242488e+01	4.585571e+01	1.001184e+00
1.100000e-04	1.974337e+01	3.665076e-03	3.665076e-03	5.183201e-03	3.230928e+01	3.230928e+01	4.569222e+01	1.001209e+00
1.200000e-04	1.974272e+01	3.987621e-03	3.987621e-03	5.639348e-03	3.220067e+01	3.220067e+01	4.553863e+01	1.001230e+00
1.300000e-04	1.974207e+01	4.309110e-03	4.309110e-03	6.094001e-03	3.209796e+01	3.209796e+01	4.539337e+01	1.001249e+00
1.400000e-04	1.974142e+01	4.629597e-03	4.629597e-03	6.547239e-03	3.200027e+01	3.200027e+01	4.525522e+01	1.001264e+00
1.500000e-04	1.974077e+01	4.949130e-03	4.949130e-03	6.999126e-03	3.190694e+01	3.190694e+01	4.512323e+01	1.001278e+00
1.600000e-04	1.974012e+01	5.267748e-03	5.267748e-03	7.449721e-03	3.181741e+01	3.181741e+01	4.499661e+01	1.001291e+00
1.700000e-04	1.973947e+01	5.585489e-03	5.585489e-03	7.899074e-03	3.173124e+01	3.173124e+01	4.487475e+01	1.001302e+00
1.800000e-04	1.973882e+01	5.902383e-03	5.902383e-03	8.347230e-03	3.164805e+01	3.164805e+01	4.475710e+01	1.001312e+00
