time	z	x	y	z	vx	vy	vz	mass
1.000000e-05	1.974988e+01	3.499727e-04	3.499727e-04	4.949361e-04	3.423198e+01	3.423198e+01	4.841132e+01	1.000205e+00
2.000000e-05	1.974923e+01	6.873728e-04	6.873728e-04	9.720919e-04	3.333039e+01	3.333039e+01	4.713629e+01	1.000409e+00
3.000000e-05	1.974858e+01	1.017629e-03	1.017629e-03	1.439145e-03	3.275440e+01	3.275440e+01	4.632172e+01	1.000614e+00
4.000000e-05	1.974793e+01	1.342954e-03	1.342954e-03	1.899223e-03	3.232839e+01	3.232839e+01	4.571924e+01	1.000819e+00
5.000000e-05	1.974728e+01	1.664483e-03	1.664483e-03	2.353934e-03	3.198875e+01	3.198875e+01	4.523893e+01	1.001018e+00
6.000000e-05	1.974663e+01	1.982921e-03	1.982921e-03	2.804274e-03	3.170672e+01	3.170672e+01	4.484008e+01	1.001164e+00
7.000000e-05	1.974598e+01	2.298752e-03	2.298752e-03	3.250927e-03	3.146515e+01	3.146515e+01	4.449845e+01	1.001269e+00
8.000000e-05	1.974533e+01	2.612323e-03	2.612323e-03	3.694383e-03	3.125324e+01	3.125324e+01	4.419876e+01	1.001346e+00
9.000000e-05	1.974467e+01	2.923893e-03	2.923893e-03	4.135009e-03	3.106395e+01	3.106395e+01	4.393106e+01	1.001407e+00
1.000000e-04	1.974402e+01	3.233662e-03	3.233662e-03	4.573088e-03	3.089245e+01	3.089245e+01	4.368853e+01	1.001455e+00
1.100000e-04	1.974337e+01	3.541790e-03	3.541790e-03	5.008847e-03	3.073529e+01	3.073529e+01	4.346626e+01	1.001494e+00
1.200000e-04	1.974272e+01	3.848407e-03	3.848407e-03	5.442469e-03	3.058990e+01	3.058990e+01	4.326066e+01	1.001527e+00
1.300000e-04	1.974207e+01	4.153621e-03	4.153621e-03	5.874107e-03	3.045436e+01	3.045436e+01	4.306897e+01	1.001554e+00
1.400000e-04	1.974142e+01	4.457522e-03	4.457522e-03	6.303888e-03	3.032715e+01	3.032715e+01	4.288907e+01	1.001578e+00
