fs	Tr(Gyr)	m(1e5M0)
0.010000	0.086286	1.070595
0.011837	0.078866	1.087475
0.013673	0.071976	1.089192
0.015510	0.065646	1.072786
0.017347	0.059596	1.058381
0.019184	0.054876	1.068909
0.021020	0.050466	1.079955
0.022857	0.046396	1.070819
0.024694	0.042626	1.058870
0.026531	0.038676	1.040731
0.028367	0.035916	1.045758
0.030204	0.033306	1.051727
0.032041	0.030846	1.058308
0.033878	0.028546	1.064554
0.035714	0.026406	1.062001
0.037551	0.024436	1.053376
0.039388	0.022606	1.046625
0.041224	0.020796	1.039220
0.043061	0.018876	1.028558
0.044898	0.017626	1.030879
0.046735	0.016436	1.033418
0.048571	0.015306	1.036147
0.050408	0.014236	1.039006
0.052245	0.013236	1.042105
0.054082	0.012286	1.044892
0.055918	0.011406	1.047595
0.057755	0.010596	1.049769
0.059592	0.009826	1.046309
0.061429	0.009126	1.042001
0.063265	0.008466	1.038219
0.065102	0.007846	1.034964
0.066939	0.007260	1.032108
0.068776	0.006720	1.029901
0.070612	0.006180	1.027372
0.072449	0.005200	1.015665
0.074286	0.004860	1.016568
0.076122	0.004520	1.017277
0.077959	0.004200	1.018036
0.079796	0.003903	1.018878
0.081633	0.003633	1.019865
0.083469	0.003363	1.020608
0.085306	0.003123	1.021539
0.087143	0.002893	1.022358
0.088980	0.002673	1.023053
0.090816	0.002473	1.023790
0.092653	0.002293	1.024581
0.094490	0.002123	1.025261
0.096327	0.001963	1.025829
0.098163	0.001823	1.026493
0.100000	0.001693	1.027073
