fs	Tr(Gyr)	m(1e5M0)
0.010000	13.599950	1.000946
0.011837	13.599950	1.000951
0.013673	13.599950	1.000956
0.015510	13.599950	1.000962
0.017347	13.599950	1.000967
0.019184	13.599950	1.000973
0.021020	13.599950	1.000980
0.022857	13.599950	1.000989
0.024694	12.711160	1.067736
0.026531	8.938576	1.084703
0.028367	6.620212	1.076972
0.030204	5.098832	1.052677
0.032041	4.048932	1.061864
0.033878	3.293166	1.075439
0.035714	2.730476	1.077636
0.037551	2.299786	1.063555
0.039388	1.962066	1.050287
0.041224	1.693206	1.058295
0.043061	1.474736	1.069036
0.044898	1.294806	1.074373
0.046735	1.144796	1.061926
0.048571	1.017776	1.041963
0.050408	0.910472	1.047191
0.052245	0.818372	1.053612
0.054082	0.738712	1.061388
0.055918	0.669312	1.069147
0.057755	0.608612	1.062049
0.059592	0.555172	1.055255
0.061429	0.507872	1.051023
0.063265	0.465586	1.040973
0.065102	0.428686	1.045023
0.066939	0.395756	1.049258
0.068776	0.366176	1.053849
0.070612	0.339536	1.058796
0.072449	0.315446	1.063033
0.074286	0.293586	1.059006
0.076122	0.273666	1.054724
0.077959	0.255476	1.051546
0.079796	0.238792	1.049214
0.081633	0.223532	1.048072
0.083469	0.208972	1.037256
0.085306	0.196092	1.039594
0.087143	0.184212	1.042180
0.088980	0.173192	1.044877
0.090816	0.162992	1.047545
0.092653	0.153512	1.050462
0.094490	0.144732	1.053092
0.096327	0.136532	1.055710
0.098163	0.128892	1.054401
0.100000	0.121766	1.051868
