fs	Tr(Gyr)	m(1e5M0)
0.010000	13.599950	1.000800
0.011837	13.599950	1.000806
0.013673	13.599950	1.000812
0.015510	13.599950	1.000819
0.017347	13.599950	1.002811
0.019184	13.107380	1.085645
0.021020	9.514996	1.105047
0.022857	7.205212	1.088095
0.024694	5.635672	1.092727
0.026531	4.520772	1.081789
0.028367	3.700906	1.091641
0.030204	3.079776	1.069242
0.032041	2.598816	1.093144
0.033878	2.218086	1.072112
0.035714	1.911866	1.068910
0.037551	1.662146	1.089033
0.039388	1.455566	1.067091
0.041224	1.282856	1.060043
0.043061	1.137456	1.075829
0.044898	1.013566	1.071752
0.046735	0.906712	1.047050
0.048571	0.815372	1.056081
0.050408	0.735772	1.068512
0.052245	0.666112	1.069882
0.054082	0.604892	1.056521
0.055918	0.550532	1.044946
0.057755	0.502892	1.052577
0.059592	0.460376	1.062198
0.061429	0.422356	1.067145
0.063265	0.388256	1.055363
0.065102	0.356986	1.036667
0.066939	0.329606	1.041225
0.068776	0.304746	1.046928
0.070612	0.282136	1.053532
0.072449	0.261566	1.060527
0.074286	0.242812	1.055965
0.076122	0.225692	1.048911
0.077959	0.209932	1.043051
0.079796	0.195212	1.034629
0.081633	0.182152	1.038295
0.083469	0.170092	1.042379
0.085306	0.158952	1.046742
0.087143	0.148672	1.051427
0.088980	0.139172	1.054037
0.090816	0.130372	1.047816
0.092653	0.122206	1.043359
0.094490	0.114596	1.039949
0.096327	0.107046	1.028304
0.098163	0.100606	1.030484
0.100000	0.094596	1.032993
