fs	Tr(Gyr)	m(1e5M0)
0.010000	0.167812	1.104042
0.011837	0.152532	1.093184
0.013673	0.138392	1.074547
0.015510	0.126652	1.094043
0.017347	0.115886	1.081998
0.019184	0.105546	1.057075
0.021020	0.097296	1.068657
0.022857	0.089616	1.082561
0.024694	0.082536	1.073381
0.026531	0.075986	1.059254
0.028367	0.069836	1.048195
0.030204	0.064786	1.055574
0.032041	0.060056	1.064435
0.033878	0.055656	1.072299
0.035714	0.051596	1.062124
0.037551	0.047836	1.052679
0.039388	0.043766	1.033860
0.041224	0.040886	1.037409
0.043061	0.038156	1.041495
0.044898	0.035576	1.046104
0.046735	0.033146	1.051027
0.048571	0.030876	1.056011
0.050408	0.028766	1.059502
0.052245	0.026806	1.052357
0.054082	0.024976	1.046171
0.055918	0.023276	1.041536
0.057755	0.021636	1.036996
0.059592	0.019686	1.025000
0.061429	0.018456	1.026796
0.063265	0.017286	1.028734
0.065102	0.016166	1.030643
0.066939	0.015116	1.032824
0.068776	0.014126	1.035104
0.070612	0.013186	1.037259
0.072449	0.012316	1.039658
0.074286	0.011486	1.041625
0.076122	0.010726	1.043719
0.077959	0.010006	1.044957
0.079796	0.009336	1.041470
0.081633	0.008706	1.038109
0.083469	0.008116	1.035259
0.085306	0.007560	1.032795
0.087143	0.007040	1.030759
0.088980	0.006540	1.028813
0.090816	0.006080	1.027376
0.092653	0.005620	1.025605
0.094490	0.004720	1.014742
0.096327	0.004400	1.015297
0.098163	0.004100	1.015892
0.100000	0.003833	1.016666
