fs	Tr(Gyr)	m(1e5M0)
0.010000	0.024756	1.078136
0.011837	0.022486	1.080481
0.013673	0.020386	1.068443
0.015510	0.018426	1.058723
0.017347	0.016056	1.039555
0.019184	0.014816	1.043822
0.021020	0.013636	1.048518
0.022857	0.012516	1.053396
0.024694	0.011466	1.058109
0.026531	0.010486	1.061094
0.028367	0.009586	1.055161
0.030204	0.008746	1.048233
0.032041	0.007976	1.042539
0.033878	0.007260	1.037725
0.035714	0.006520	1.032133
0.037551	0.005440	1.019285
0.039388	0.005060	1.020628
0.041224	0.004680	1.021741
0.043061	0.004340	1.023300
0.044898	0.004000	1.024572
0.046735	0.003683	1.025961
0.048571	0.003383	1.027328
0.050408	0.003103	1.028706
0.052245	0.002843	1.030072
0.054082	0.002603	1.031400
0.055918	0.002373	1.032453
0.057755	0.002173	1.033625
0.059592	0.001983	1.034450
0.061429	0.001803	1.034842
0.063265	0.001653	1.034389
0.065102	0.001503	1.031220
0.066939	0.001373	1.028482
0.068776	0.001253	1.025961
0.070612	0.001143	1.023655
0.072449	0.001043	1.021563
0.074286	0.000950	1.019622
0.076122	0.000870	1.017955
0.077959	0.000790	1.016290
0.079796	0.000730	1.015044
0.081633	0.000650	1.013384
0.083469	0.000590	1.012141
0.085306	0.000530	1.010900
0.087143	0.000479	1.009846
0.088980	0.000419	1.008607
0.090816	0.000000	1.000000
0.092653	0.000000	1.000000
0.094490	0.000000	1.000000
0.096327	0.000000	1.000000
0.098163	0.000000	1.000000
0.100000	0.000000	1.000000
