fs	Tr(Gyr)	m(1e5M0)
0.010000	2.817686	1.122952
0.011837	2.405426	1.129992
0.013673	2.071006	1.103557
0.015510	1.797016	1.100030
0.017347	1.569676	1.110348
0.019184	1.378686	1.074484
0.021020	1.218706	1.103597
0.022857	1.081196	1.065434
0.024694	0.964872	1.086584
0.026531	0.863992	1.085586
0.028367	0.776112	1.065309
0.030204	0.700192	1.085445
0.032041	0.633372	1.076681
0.033878	0.574172	1.057147
0.035714	0.522592	1.071378
0.037551	0.476576	1.081975
0.039388	0.435506	1.063282
0.041224	0.398596	1.052373
0.043061	0.366016	1.063121
0.044898	0.336576	1.075883
0.046735	0.309986	1.063795
0.048571	0.285316	1.040969
0.050408	0.263936	1.047074
0.052245	0.244352	1.054798
0.054082	0.226432	1.063958
0.055918	0.210072	1.065445
0.057755	0.195092	1.054347
0.059592	0.180752	1.035079
0.061429	0.168472	1.039159
0.063265	0.157092	1.044024
0.065102	0.146572	1.050035
0.066939	0.136832	1.056354
0.068776	0.127832	1.060949
0.070612	0.119516	1.052374
0.072449	0.111806	1.046286
0.074286	0.104576	1.040844
0.076122	0.097596	1.032186
0.077959	0.091586	1.035311
0.079796	0.085956	1.038699
0.081633	0.080686	1.042251
0.083469	0.075776	1.046197
0.085306	0.071186	1.049968
0.087143	0.066906	1.052034
0.088980	0.062906	1.046627
0.090816	0.059156	1.042384
0.092653	0.055636	1.039176
0.094490	0.052316	1.036569
0.096327	0.048746	1.025633
0.098163	0.045946	1.027285
0.100000	0.043316	1.029203
