fs	Tr(Gyr)	m(1e5M0)
0.010000	0.344806	1.107973
0.011837	0.311956	1.098654
0.013673	0.282676	1.092150
0.015510	0.257246	1.096199
0.017347	0.233932	1.069017
0.019184	0.214172	1.088589
0.021020	0.196132	1.084129
0.022857	0.179272	1.056896
0.024694	0.165172	1.069256
0.026531	0.152172	1.084842
0.028367	0.140252	1.071290
0.030204	0.128792	1.046412
0.032041	0.119436	1.054269
0.033878	0.110706	1.064170
0.035714	0.102626	1.074867
0.037551	0.095176	1.064958
0.039388	0.088306	1.054035
0.041224	0.081596	1.039657
0.043061	0.076106	1.044657
0.044898	0.070956	1.050719
0.046735	0.066146	1.057681
0.048571	0.061666	1.064089
0.050408	0.057516	1.058371
0.052245	0.053666	1.050348
0.054082	0.050066	1.044254
0.055918	0.046256	1.030696
0.057755	0.043366	1.033376
0.059592	0.040636	1.036441
0.061429	0.038066	1.039934
0.063265	0.035646	1.043667
0.065102	0.033376	1.047535
0.066939	0.031256	1.051297
0.068776	0.029266	1.053302
0.070612	0.027416	1.047594
0.072449	0.025676	1.042840
0.074286	0.024046	1.039142
0.076122	0.022516	1.036326
0.077959	0.021016	1.032943
0.079796	0.019246	1.023087
0.081633	0.018096	1.024632
0.083469	0.016996	1.026156
0.085306	0.015946	1.027641
0.087143	0.014966	1.029363
0.088980	0.014036	1.031044
0.090816	0.013156	1.032671
0.092653	0.012326	1.034246
0.094490	0.011556	1.035972
0.096327	0.010826	1.037503
0.098163	0.010146	1.039043
0.100000	0.009496	1.040094
