fs	Tr(Gyr)	m(1e5M0)
0.010000	0.813032	1.113051
0.011837	0.725892	1.117728
0.013673	0.650032	1.080908
0.015510	0.585372	1.111733
0.017347	0.527552	1.071267
0.019184	0.478136	1.095457
0.021020	0.434006	1.085197
0.022857	0.394636	1.071218
0.024694	0.360216	1.092458
0.026531	0.329236	1.075663
0.028367	0.301216	1.060318
0.030204	0.276706	1.075057
0.032041	0.254426	1.081112
0.033878	0.234192	1.063091
0.035714	0.215692	1.052113
0.037551	0.199452	1.062507
0.039388	0.184512	1.074418
0.041224	0.170872	1.066668
0.043061	0.158332	1.054371
0.044898	0.146612	1.043258
0.046735	0.136432	1.049749
0.048571	0.126972	1.057500
0.050408	0.118226	1.065834
0.052245	0.110156	1.061366
0.054082	0.102706	1.052108
0.055918	0.095176	1.032865
0.057755	0.089096	1.036274
0.059592	0.083386	1.040169
0.061429	0.078046	1.044801
0.063265	0.073056	1.049951
0.065102	0.068396	1.055008
0.066939	0.064066	1.057700
0.068776	0.060046	1.050536
0.070612	0.056286	1.045044
0.072449	0.052756	1.040804
0.074286	0.048936	1.027298
0.076122	0.046026	1.029416
0.077959	0.043276	1.031742
0.079796	0.040676	1.034181
0.081633	0.038236	1.036919
0.083469	0.035936	1.039676
0.085306	0.033776	1.042470
0.087143	0.031756	1.045347
0.088980	0.029856	1.047777
0.090816	0.028076	1.045360
0.092653	0.026396	1.041462
0.094490	0.024816	1.038365
0.096327	0.023326	1.035899
0.098163	0.021916	1.033890
0.100000	0.020566	1.031947
